Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-11-12,LT,EQ,855.45,859.9,869.0,856.0,857.0,858.35,858.7,53701,4.61130816e+12,,34006,0.6332
2004-11-16,LT,EQ,858.35,859.0,872.45,854.2,861.0,858.8,864.58,303791,2.6265200395e+13,,151276,0.498
2004-11-17,LT,EQ,858.8,841.05,867.0,841.05,852.0,848.5,854.27,162618,1.3891904595e+13,,96813,0.5953
2004-11-18,LT,EQ,848.5,856.0,865.0,849.0,861.0,861.05,855.95,106381,9.105641275e+12,,57670,0.5421
2004-11-19,LT,EQ,861.05,866.85,866.85,844.0,846.5,848.6,850.59,131811,1.1211646385e+13,,78955,0.599
2004-11-22,LT,EQ,848.6,859.7,859.7,831.35,847.7,846.35,843.98,52015,4.389964395e+12,,20026,0.385
2004-11-23,LT,EQ,846.35,850.0,854.95,838.1,853.05,850.7,847.26,129543,1.0975619215e+13,,78966,0.6096
2004-11-24,LT,EQ,850.7,854.35,864.3,845.05,863.0,860.85,853.82,154683,1.32070709e+13,,113750,0.7354
2004-11-25,LT,EQ,860.85,861.0,878.0,857.0,875.0,875.4,870.89,267647,2.3308989415e+13,,187889,0.702
2004-11-29,LT,EQ,875.4,870.0,887.0,854.0,882.0,880.75,875.95,261303,2.288892433e+13,,156571,0.5992
2004-11-30,LT,EQ,880.75,886.0,913.7,871.0,902.0,903.9,897.78,517005,4.641591965e+13,,287844,0.5568
2004-12-01,LT,EQ,903.9,900.2,936.9,890.15,918.05,922.5,916.63,725464,6.649786744e+13,,298154,0.411
2004-12-02,LT,EQ,922.5,920.0,984.0,920.0,945.0,954.05,965.1,1002971,9.679652843e+13,,563397,0.5617
2004-12-03,LT,EQ,954.05,955.25,1004.9,955.25,998.0,997.35,990.07,1580856,1.5651644116e+14,,949214,0.6004
2004-12-06,LT,EQ,997.35,1000.0,1009.9,950.05,951.0,958.2,971.98,624145,6.066572033e+13,,314708,0.5042
2004-12-07,LT,EQ,958.2,979.9,979.9,906.65,915.3,915.35,934.29,569509,5.320856802e+13,,295982,0.5197
2004-12-08,LT,EQ,915.35,920.0,946.0,910.3,914.7,913.75,930.21,477727,4.443884954e+13,,172049,0.3601
2004-12-09,LT,EQ,913.75,921.8,934.0,900.0,905.0,904.95,916.65,492987,4.518956644e+13,,206331,0.4185
2004-12-10,LT,EQ,904.95,915.8,925.1,901.0,904.9,906.15,909.51,427305,3.8863848165e+13,,175234,0.4101
2004-12-13,LT,EQ,906.15,910.0,920.0,906.15,909.0,908.15,910.73,288209,2.6248093875e+13,,139276,0.4832
2004-12-14,LT,EQ,908.15,910.0,918.0,907.15,911.8,910.0,912.44,245445,2.2395399715e+13,,137214,0.559
2004-12-15,LT,EQ,910.0,918.9,964.0,910.0,944.5,944.85,941.76,715287,6.736312502e+13,,278703,0.3896
2004-12-16,LT,EQ,944.85,948.0,995.95,948.0,989.05,990.3,980.47,1215995,1.19224576935e+14,,557815,0.4587
2004-12-17,LT,EQ,990.3,990.0,995.0,931.2,940.0,940.85,960.44,684152,6.5708436415e+13,,297284,0.4345
2004-12-20,LT,EQ,940.85,955.0,990.0,940.0,982.0,979.8,974.52,722230,7.0382833175e+13,,330054,0.457
2004-12-21,LT,EQ,979.8,994.0,994.0,959.0,982.95,978.9,974.44,664247,6.472709708e+13,,294778,0.4438
2004-12-22,LT,EQ,978.9,985.0,986.0,960.0,965.0,973.65,971.0,395827,3.843495409e+13,,193356,0.4885
2004-12-23,LT,EQ,973.65,983.8,984.95,973.0,980.0,980.3,978.64,184348,1.8041002705e+13,,80764,0.4381
2004-12-24,LT,EQ,980.3,984.9,999.0,973.05,976.0,977.8,987.47,354757,3.5031236505e+13,,131575,0.3709
2004-12-27,LT,EQ,977.8,975.0,996.0,972.0,993.0,991.55,989.75,307422,3.042715288e+13,,129512,0.4213
2004-12-28,LT,EQ,991.55,982.0,1010.0,982.0,997.5,1004.2,1001.52,413819,4.144477434e+13,,194868,0.4709
2004-12-29,LT,EQ,1004.2,1004.0,1021.0,985.0,986.0,989.0,999.95,251025,2.5101126515e+13,,88795,0.3537
2004-12-30,LT,EQ,989.0,993.95,1000.0,967.0,999.0,990.55,982.31,347903,3.4174978655e+13,,181487,0.5217
2004-12-31,LT,EQ,990.55,991.0,999.75,980.0,980.1,984.55,990.95,134789,1.3356867635e+13,,34565,0.2564
2005-01-03,LT,EQ,984.55,999.0,999.0,965.65,974.5,976.8,979.86,370996,3.635248998e+13,,213235,0.5748
2005-01-04,LT,EQ,976.8,980.0,989.0,972.0,974.95,974.2,980.93,154950,1.519956257e+13,,70727,0.4565
2005-01-05,LT,EQ,974.2,975.0,994.0,946.8,959.0,959.25,971.52,397230,3.8591563945e+13,,191454,0.482
2005-01-06,LT,EQ,959.25,959.9,960.0,936.5,940.0,939.95,944.53,211195,1.99479597e+13,,92828,0.4395
2005-01-07,LT,EQ,939.95,941.0,980.0,941.0,979.0,974.5,963.27,291061,2.803712796e+13,,164253,0.5643
2005-01-10,LT,EQ,974.5,976.0,989.85,970.2,972.0,972.7,980.03,136304,1.335818141e+13,,65946,0.4838
2005-01-11,LT,EQ,972.7,970.0,979.0,937.5,939.55,939.0,947.58,229263,2.1724428675e+13,,145325,0.6339
2005-01-12,LT,EQ,939.0,940.0,961.0,905.3,925.0,922.85,935.1,313901,2.9352942855e+13,,132961,0.4236
2005-01-13,LT,EQ,922.85,930.0,935.0,909.9,918.0,919.3,923.44,422065,3.8975025985e+13,,239556,0.5676
2005-01-14,LT,EQ,919.3,906.25,930.0,905.1,910.0,908.7,919.12,292349,2.6870298725e+13,,183068,0.6262
2005-01-17,LT,EQ,908.7,916.85,922.9,906.0,920.0,919.05,918.98,317083,2.9139273105e+13,,241192,0.7607
2005-01-18,LT,EQ,919.05,921.0,923.6,908.4,919.0,920.4,918.59,431130,3.9603253995e+13,,308185,0.7148
2005-01-19,LT,EQ,920.4,921.1,932.25,918.0,927.1,926.05,923.42,145485,1.343436125e+13,,80596,0.554
2005-01-20,LT,EQ,926.05,925.0,957.0,910.0,947.05,952.7,935.09,206959,1.93525109e+13,,83050,0.4013
2005-01-24,LT,EQ,952.7,964.0,964.0,910.5,915.0,916.6,925.32,329927,3.0528870855e+13,,100433,0.3044
2005-01-25,LT,EQ,916.6,920.0,924.0,901.6,904.0,909.4,913.17,271380,2.478164069e+13,,115667,0.4262
2005-01-27,LT,EQ,909.4,890.0,922.5,890.0,911.0,912.7,913.95,351830,3.2155507305e+13,,200171,0.5689
2005-01-28,LT,EQ,912.7,919.9,984.35,916.15,972.5,965.3,947.97,539002,5.109575613e+13,,329684,0.6117
2005-01-31,LT,EQ,965.3,970.0,1010.0,965.85,998.1,1005.25,993.73,672663,6.68443102e+13,,433428,0.6443
2005-02-01,LT,EQ,1005.25,1005.0,1005.0,970.9,991.0,988.0,991.5,364785,3.616850984e+13,,175493,0.4811
2005-02-02,LT,EQ,988.0,984.5,1000.0,975.0,978.95,979.3,985.56,151547,1.4935874805e+13,,63126,0.4165
2005-02-03,LT,EQ,979.3,980.0,1009.0,980.0,987.0,989.9,994.69,397469,3.9535705405e+13,,156917,0.3948
2005-02-04,LT,EQ,989.9,994.0,1001.0,972.05,987.0,990.45,987.45,386647,3.8179552355e+13,,184716,0.4777
2005-02-07,LT,EQ,990.45,992.0,996.8,973.15,978.9,978.2,983.45,110419,1.0859162325e+13,,47327,0.4286
2005-02-08,LT,EQ,978.2,978.0,978.0,962.15,972.0,967.25,969.29,359468,3.4842765215e+13,,236874,0.659
2005-02-09,LT,EQ,967.25,970.55,1002.0,968.0,991.0,996.45,994.67,368971,3.6700525235e+13,,244483,0.6626
2005-02-10,LT,EQ,996.45,995.0,999.95,985.05,994.25,997.45,994.33,160175,1.592665519e+13,,89156,0.5566
2005-02-11,LT,EQ,997.45,999.9,1005.0,993.0,995.95,995.05,997.45,248363,2.4772870105e+13,,150337,0.6053
2005-02-14,LT,EQ,995.05,1034.9,1034.9,992.25,1000.0,1001.4,1001.2,221043,2.213072023e+13,,148832,0.6733
2005-02-15,LT,EQ,1001.4,1004.9,1035.0,985.0,1006.0,1003.25,1016.24,546383,5.5525527915e+13,,210076,0.3845
2005-02-16,LT,EQ,1003.25,1010.05,1028.7,1006.1,1009.0,1013.1,1018.63,307337,3.130616461e+13,,132644,0.4316
2005-02-17,LT,EQ,1013.1,1010.0,1025.0,1001.25,1022.0,1020.65,1017.52,387800,3.9459519905e+13,,189780,0.4894
2005-02-18,LT,EQ,1020.65,1025.0,1036.5,1018.25,1030.0,1025.25,1026.34,238572,2.448571e+13,,111714,0.4683
2005-02-21,LT,EQ,1025.25,1011.0,1034.0,1010.0,1020.0,1019.75,1019.45,181313,1.8484043565e+13,,96409,0.5317
2005-02-22,LT,EQ,1019.75,1024.4,1074.95,1015.0,1071.0,1067.7,1048.15,731280,7.6649177495e+13,,351391,0.4805
2005-02-23,LT,EQ,1067.7,1070.0,1103.95,1056.0,1084.95,1090.3,1090.0,654160,7.1303611175e+13,,241269,0.3688
2005-02-24,LT,EQ,1090.3,1094.7,1094.8,1054.0,1061.25,1059.75,1070.47,320402,3.4298130545e+13,,158531,0.4948
2005-02-25,LT,EQ,1059.75,1065.0,1091.7,1052.0,1078.15,1082.35,1073.94,351857,3.7787451425e+13,,151822,0.4315
2005-02-28,LT,EQ,1082.35,1080.0,1124.0,1078.1,1087.0,1088.25,1103.44,583512,6.4386760075e+13,,221384,0.3794
2005-03-01,LT,EQ,1088.25,1124.9,1149.75,1085.0,1142.0,1136.35,1113.39,676483,7.5319198135e+13,,365711,0.5406
2005-03-02,LT,EQ,1136.35,1148.0,1148.0,1108.65,1116.0,1113.8,1121.36,413416,4.6358665385e+13,,192965,0.4668
